price,param1,param2,userScore,criticScore,status
37.0,0.9999997615814209,7.304626592485874e-08,9.1,96.0,0.0
119.0,1.0,1.6673926128696337e-11,7.8,96.0,0.0
37.0,1.0,4.01590750698233e-06,9.0,96.0,0.0
64.0,0.9999997615814209,6.728092927232865e-08,8.6,96.0,0.0
37.0,1.0,2.030495327431936e-09,9.0,95.0,0.0
138.0,0.9999979734420776,6.100506197981304e-07,8.9,94.0,0.0
18.0,0.9989846348762512,0.012389510869979858,8.8,94.0,0.0
95.0,0.9999996423721313,1.4897729272433935e-07,8.6,94.0,0.0
59.0,0.9999996423721313,5.783772394352127e-08,8.1,94.0,0.0
64.0,1.0,1.1504542873908008e-09,8.3,94.0,0.0
127.0,0.9999898672103882,2.271148332511075e-06,9.4,93.0,0.0
68.0,0.9999971389770508,1.0126369716090267e-06,8.8,93.0,0.0
163.0,0.9999948143959045,8.593711982030072e-07,9.1,93.0,0.0
133.0,1.0,2.1682817319401693e-08,8.8,93.0,0.0
48.0,0.9999994039535522,1.9307816501168418e-07,8.8,93.0,0.0
249.0,1.0,1.0098498037791614e-08,5.9,93.0,0.0
63.0,0.9987773299217224,0.010334968566894531,8.3,93.0,0.0
90.0,0.9998735189437866,0.0034794211387634277,8.3,93.0,0.0
80.0,1.0,8.551407360002372e-10,8.9,93.0,0.0
48.0,0.9999880194664001,6.476097496488364e-06,8.9,93.0,0.0
0.0,0.9999810457229614,0.0006401240825653076,9.1,92.0,0.0
36.0,0.9999215602874756,0.0006395578384399414,9.1,92.0,0.0
58.0,0.9999991655349731,1.5232529904096737e-07,9.0,92.0,0.0
98.0,0.9982178211212158,0.017615139484405518,7.9,92.0,0.0
36.0,1.0,1.0656672766451436e-10,8.4,92.0,0.0
28.0,0.9994447231292725,0.005945056676864624,9.0,92.0,0.0
70.0,0.9995610117912292,0.006004065275192261,8.3,92.0,0.0
39.0,1.0,2.6053001533909992e-08,8.5,91.0,0.0
36.0,0.9986310005187988,0.013901233673095703,8.7,91.0,0.0
25.0,0.9999861717224121,0.00024959444999694824,8.5,91.0,0.0
98.0,0.999995231628418,1.3022086022829171e-06,8.1,91.0,0.0
36.0,0.9999966025352478,5.7386783737456426e-05,8.7,91.0,0.0
26.0,0.9998095035552979,0.00416189432144165,8.6,91.0,0.0
68.0,0.9999910593032837,3.183290391461924e-05,8.7,91.0,0.0
138.0,1.0,1.8985593097653464e-09,8.5,91.0,0.0
68.0,0.9999802112579346,4.711375822807895e-06,7.8,91.0,0.0
36.0,0.9997882843017578,0.0045430660247802734,6.7,91.0,0.0
98.0,0.9999997615814209,2.4619671634695806e-08,8.8,91.0,0.0
116.0,1.0,1.4665369363342506e-08,8.4,91.0,0.0
251.0,0.9999939799308777,2.9113048185536172e-06,7.2,91.0,0.0
70.0,0.9999994039535522,3.8552893784071784e-06,6.3,91.0,0.0
50.0,0.9999688863754272,0.00024950504302978516,8.4,90.0,0.0
48.0,0.9999839067459106,0.0007852613925933838,7.3,90.0,0.0
37.0,0.9999992847442627,5.716711257264251e-06,9.1,90.0,0.0
90.0,0.9990212917327881,0.012104213237762451,5.5,90.0,0.0
28.0,0.9999977350234985,7.752053352305666e-05,9.2,90.0,0.0
32.0,0.999874472618103,0.0003057122230529785,9.1,90.0,0.0
48.0,0.9998751878738403,0.0032736361026763916,8.6,90.0,0.0
16.0,0.9999891519546509,9.983056952478364e-05,8.4,90.0,0.0
25.0,0.9987109899520874,0.0058235228061676025,7.8,90.0,0.0
100.0,0.9999921321868896,1.691464967734646e-05,8.1,90.0,0.0
48.0,0.9998685121536255,0.0032232701778411865,8.5,90.0,0.0
0.0,0.9999654293060303,1.477844034525333e-05,6.5,90.0,0.0
50.0,0.9999984502792358,3.3048149816750083e-07,7.8,90.0,0.0
99.0,0.9999725818634033,1.4383424058905803e-05,6.9,90.0,0.0
133.0,1.0,4.8487236448124804e-09,8.4,90.0,0.0
112.0,0.9998804330825806,3.8572074117837474e-05,7.0,90.0,0.0
37.0,1.0,2.465567945364455e-07,8.7,89.0,0.0
219.0,0.9999740123748779,4.397245356813073e-05,9.0,89.0,0.0
36.0,0.9986559152603149,0.001993894577026367,8.7,89.0,0.0
268.0,0.9997396469116211,0.00012185297964606434,8.4,89.0,0.0
88.0,0.9999992251396179,1.758816665642371e-07,8.3,89.0,0.0
59.0,0.9997342824935913,0.0005379915237426758,8.9,89.0,0.0
36.0,0.9999923706054688,0.00040033459663391113,8.8,89.0,0.0
80.0,0.9999992847442627,1.1810546851620529e-07,8.0,89.0,0.0
43.0,0.9992774724960327,0.008822619915008545,8.8,89.0,0.0
37.0,0.999994158744812,1.4460906641033944e-06,9.1,89.0,0.0
37.0,0.9999942183494568,2.7509427127370145e-06,8.4,89.0,0.0
70.0,0.9999974966049194,0.0001037601541611366,7.3,89.0,0.0
137.0,0.9999852180480957,1.4406103218789212e-05,8.6,89.0,0.0
98.0,0.9997751712799072,3.4521253837738186e-05,8.6,89.0,0.0
64.0,0.9999872446060181,3.4619122288859216e-06,8.2,89.0,0.0
80.0,0.999994158744812,1.0341325832996517e-05,7.3,89.0,0.0
63.0,0.9999885559082031,2.7931913791690022e-05,9.1,89.0,0.0
48.0,0.9999741315841675,6.203047178132692e-06,8.0,89.0,0.0
41.0,0.9999992251396179,0.00014832615852355957,7.7,89.0,0.0
95.0,1.0,6.207032221539066e-09,8.2,89.0,0.0
188.0,0.9999984502792358,3.464395831542788e-06,6.0,89.0,0.0
68.0,0.9963576793670654,0.009053438901901245,8.8,89.0,0.0
36.0,0.9996253252029419,0.0024833083152770996,7.7,89.0,0.0
28.0,0.9969835877418518,0.03084278106689453,9.0,89.0,0.0
78.0,0.9999469518661499,0.0017599761486053467,7.2,89.0,0.0
238.0,1.0,1.4024495342823684e-08,7.6,89.0,0.0
70.0,0.9998608231544495,2.514952575438656e-05,8.2,89.0,0.0
48.0,0.9999991655349731,1.6263921907011536e-06,8.8,89.0,0.0
48.0,0.9998966455459595,0.0002225041389465332,8.6,89.0,0.0
68.0,0.9999963641166687,9.043620593729429e-06,8.4,89.0,0.0
70.0,0.9999807476997375,6.136386218713596e-05,8.2,88.0,0.0
268.0,0.9999808073043823,7.073368124110857e-06,7.9,88.0,0.0
36.0,0.9997422695159912,0.0010744333267211914,8.1,88.0,0.0
68.0,0.9999990463256836,5.150261131348088e-06,8.3,88.0,0.0
112.0,0.9998568296432495,0.000984281301498413,8.2,88.0,0.0
90.0,1.0,1.9015746755002283e-09,8.6,88.0,0.0
98.0,0.9994979500770569,0.0001709461212158203,8.3,88.0,0.0
68.0,0.9999899864196777,2.7953537937719375e-06,8.5,88.0,0.0
